awardYear,category,categoryFullName,sortOrder,portion,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
1931,Peace,The Nobel Peace Prize,2,2-Jan,173206,5238085,12/10/1931,received,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1931,497,Nicholas Murray Butler,Nicholas Murray Butler,Nicholas Murray,Butler,Nicholas Murray Butler,,male,http://masterdataapi.nobelprize.org/2/laureate/497,1862-04-02,"Elizabeth, NJ","Elizabeth, NJ",North America,USA,USA,"Elizabeth, NJ, USA",12/7/1947,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,Individual,USA,,"Columbia University, New York, NY, USA",,,
1930,Peace,The Nobel Peace Prize,1,1,172947,5066807,12/10/1930,received,for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality',,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1930,495,Nathan Söderblom,Nathan Söderblom,Nathan,Söderblom,Lars Olof Jonathan (Nathan) Söderblom,,male,http://masterdataapi.nobelprize.org/2/laureate/495,1866-01-15,Trönö,Trönö,Europe,Sweden,Sweden,"Trönö, Sweden",7/12/1931,Uppsala,Uppsala,Europe,Sweden,Sweden,"Uppsala, Sweden",,,,,,,,,,,Individual,Sweden,,,,,
1929,Peace,The Nobel Peace Prize,1,1,172760,4907955,12/10/1930,received,for his crucial role in bringing about the Briand-Kellogg Pact,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1929,494,Frank B. Kellogg,Frank B. Kellogg,Frank B.,Kellogg,Frank Billings Kellogg,,male,http://masterdataapi.nobelprize.org/2/laureate/494,1856-12-22,"Potsdam, NY","Potsdam, NY",North America,USA,USA,"Potsdam, NY, USA",12/21/1937,"St. Paul, MN","St. Paul, MN",North America,USA,USA,"St. Paul, MN, USA",,,,,,,,,,,Individual,USA,,,,,
1927,Peace,The Nobel Peace Prize,1,2-Jan,126501,3593778,12/10/1927,received,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1927,492,Ferdinand Buisson,Ferdinand Buisson,Ferdinand,Buisson,Ferdinand Buisson,,male,http://masterdataapi.nobelprize.org/2/laureate/492,1841-12-20,Paris,Paris,Europe,France,France,"Paris, France",2/16/1932,Thieuloy-Saint-Antoine,Thieuloy-Saint-Antoine,Europe,France,France,"Thieuloy-Saint-Antoine, France",,,,,,,,,,,Individual,France,,,,,
1927,Peace,The Nobel Peace Prize,2,2-Jan,126501,3593778,12/10/1927,received,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1927,493,Ludwig Quidde,Ludwig Quidde,Ludwig,Quidde,Ludwig Quidde,,male,http://masterdataapi.nobelprize.org/2/laureate/493,1858-03-23,Bremen,Bremen,Europe,Germany,Germany,"Bremen, Germany",3/4/1941,Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",,,,,,,,,,,Individual,Germany,,,,,
1926,Peace,The Nobel Peace Prize,1,2-Jan,116960,3273134,12/10/1926,received,for their crucial role in bringing about the Locarno Treaty,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1926,490,Aristide Briand,Aristide Briand,Aristide,Briand,Aristide Briand,,male,http://masterdataapi.nobelprize.org/2/laureate/490,1862-03-28,Nantes,Nantes,Europe,France,France,"Nantes, France",3/7/1932,Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,Individual,France,,,,,
1926,Peace,The Nobel Peace Prize,2,2-Jan,116960,3273134,12/10/1926,received,for their crucial role in bringing about the Locarno Treaty,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1926,491,Gustav Stresemann,Gustav Stresemann,Gustav,Stresemann,Gustav Stresemann,,male,http://masterdataapi.nobelprize.org/2/laureate/491,1878-05-10,Berlin,Berlin,Europe,Germany,Germany,"Berlin, Germany",10/3/1929,Berlin,Berlin,Europe,Germany,Germany,"Berlin, Germany",,,,,,,,,,,Individual,Germany,,,,,
1925,Peace,The Nobel Peace Prize,2,2-Jan,118165,3211005,12/10/1926,received,for his crucial role in bringing about the Dawes Plan,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1925,489,Charles G. Dawes,Charles G. Dawes,Charles G.,Dawes,Charles Gates Dawes,,male,http://masterdataapi.nobelprize.org/2/laureate/489,1865-08-27,"Marietta, OH","Marietta, OH",North America,USA,USA,"Marietta, OH, USA",4/23/1951,"Evanston, IL","Evanston, IL",North America,USA,USA,"Evanston, IL, USA",,,,,,,,,,,Individual,USA,,,,,
1925,Peace,The Nobel Peace Prize,1,2-Jan,118165,3211005,12/10/1926,received,for his crucial role in bringing about the Locarno Treaty,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1925,488,Sir Austen Chamberlain,Sir Austen Chamberlain,Sir Austen,Chamberlain,Sir Austen Chamberlain,,male,http://masterdataapi.nobelprize.org/2/laureate/488,1863-10-16,Birmingham,Birmingham,Europe,United Kingdom,United Kingdom,"Birmingham, United Kingdom",3/16/1937,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",,,,,,,,,,,Individual,United Kingdom,,,,,
1922,Peace,The Nobel Peace Prize,1,1,122483,3145967,12/10/1922,received,for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1922,487,Fridtjof Nansen,Fridtjof Nansen,Fridtjof,Nansen,Fridtjof Nansen,,male,http://masterdataapi.nobelprize.org/2/laureate/487,1861-10-10,Kristiania,Oslo,Europe,Norway,Norway,"Kristiania (now Oslo), Norway",5/13/1930,Oslo,Oslo,Europe,Norway,Norway,"Oslo, Norway",,,,,,,,,,,Individual,Norway,,,,,
1921,Peace,The Nobel Peace Prize,2,2-Jan,121573,2532771,12/10/1921,received,for their lifelong contributions to the cause of peace and organized internationalism,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1921,486,Christian Lange,Christian Lange,Christian,Lange,Christian Lous Lange,,male,http://masterdataapi.nobelprize.org/2/laureate/486,1869-09-17,Stavanger,Stavanger,Europe,Norway,Norway,"Stavanger, Norway",12/11/1938,Oslo,Oslo,Europe,Norway,Norway,"Oslo, Norway",,,,,,,,,,,Individual,Norway,,,,,
1921,Peace,The Nobel Peace Prize,1,2-Jan,121573,2532771,12/10/1921,received,for their lifelong contributions to the cause of peace and organized internationalism,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1921,485,Hjalmar Branting,Hjalmar Branting,Hjalmar,Branting,Karl Hjalmar Branting,,male,http://masterdataapi.nobelprize.org/2/laureate/485,1860-11-23,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",2/24/1925,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",,,,,,,,,,,Individual,Sweden,,,,,
1920,Peace,The Nobel Peace Prize,1,1,134100,2394643,12/10/1920,received,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1920,484,Léon Bourgeois,Léon Bourgeois,Léon,Bourgeois,Léon Victor Auguste Bourgeois,,male,http://masterdataapi.nobelprize.org/2/laureate/484,1851-05-21,Paris,Paris,Europe,France,France,"Paris, France",9/29/1925,Épernay,Épernay,Europe,France,France,"Épernay, France",,,,,,,,,,,Individual,France,,,,,
1919,Peace,The Nobel Peace Prize,1,1,133127,2377268,12/10/1920,received,for his role as founder of the League of Nations,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1919,483,Woodrow Wilson,Woodrow Wilson,Woodrow,Wilson,Thomas Woodrow Wilson,,male,http://masterdataapi.nobelprize.org/2/laureate/483,1856-12-28,"Staunton, VA","Staunton, VA",North America,USA,USA,"Staunton, VA, USA",2/3/1924,"Washington, DC","Washington, DC",North America,USA,USA,"Washington, DC, USA",,,,,,,,,,,Individual,USA,,,,,
1917,Peace,The Nobel Peace Prize,1,1,133823,3920596,12/10/1917,received,for the efforts to take care of wounded soldiers and prisoners of war and their families,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1917,482,International Committee of the Red Cross,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/482,,,,,,,,,,,,,,,International Committee of the Red Cross,Comité international de la Croix Rouge,,1863-00-00,Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",Organization,,,,,,
1913,Peace,The Nobel Peace Prize,1,1,143010,6875481,12/10/1913,received,for his unparalleled contribution to the organization of peaceful internationalism,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1913,481,Henri La Fontaine,Henri La Fontaine,Henri,La Fontaine,Henri La Fontaine,,male,http://masterdataapi.nobelprize.org/2/laureate/481,1854-04-22,Brussels,Brussels,Europe,Belgium,Belgium,"Brussels, Belgium",5/14/1943,Brussels,Brussels,Europe,Belgium,Belgium,"Brussels, Belgium",,,,,,,,,,,Individual,Belgium,,,,,
1912,Peace,The Nobel Peace Prize,1,1,140476,6753654,12/10/1913,received,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1912,480,Elihu Root,Elihu Root,Elihu,Root,Elihu Root,,male,http://masterdataapi.nobelprize.org/2/laureate/480,1845-02-15,"Clinton, NY","Clinton, NY",North America,USA,USA,"Clinton, NY, USA",2/7/1937,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,Individual,USA,,,,,
1911,Peace,The Nobel Peace Prize,2,2-Jan,140695,7327865,12/10/1911,received,for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1911,479,Alfred Fried,Alfred Fried,Alfred,Fried,Alfred Hermann Fried,,male,http://masterdataapi.nobelprize.org/2/laureate/479,1864-11-11,Vienna,Vienna,Europe,Austria,Austria,"Vienna, Austria",5/5/1921,Vienna,Vienna,Europe,Austria,Austria,"Vienna, Austria",,,,,,,,,,,Individual,Austria,,,,,
1911,Peace,The Nobel Peace Prize,1,2-Jan,140695,7327865,12/10/1911,received,for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1911,478,Tobias Asser,Tobias Asser,Tobias,Asser,Tobias Michael Carel Asser,,male,http://masterdataapi.nobelprize.org/2/laureate/478,1838-04-28,Amsterdam,Amsterdam,Europe,the Netherlands,the Netherlands,"Amsterdam, the Netherlands",7/29/1913,the Hague,the Hague,Europe,the Netherlands,the Netherlands,"the Hague, the Netherlands",,,,,,,,,,,Individual,the Netherlands,,,,,
1910,Peace,The Nobel Peace Prize,1,1,140703,7130220,12/10/1910,received,for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1910,477,Permanent International Peace Bureau,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/477,,,,,,,,,,,,,,,Permanent International Peace Bureau,Bureau international permanent de la Paix,,1891-00-00,Bern,Bern,Europe,Switzerland,Switzerland,"Bern, Switzerland",Organization,,,,,,
1909,Peace,The Nobel Peace Prize,1,2-Jan,139800,7084459,12/10/1909,received,for their prominent position in the international movement for peace and arbitration,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1909,475,Auguste Beernaert,Auguste Beernaert,Auguste,Beernaert,Auguste Marie François Beernaert,,male,http://masterdataapi.nobelprize.org/2/laureate/475,1829-07-26,Ostend,Ostend,Europe,Belgium,Belgium,"Ostend, Belgium",10/6/1912,Lucerne,Lucerne,Europe,Switzerland,Switzerland,"Lucerne, Switzerland",,,,,,,,,,,Individual,Belgium,,,,,
1909,Peace,The Nobel Peace Prize,2,2-Jan,139800,7084459,12/10/1909,received,for their prominent position in the international movement for peace and arbitration,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1909,476,Paul Henri d'Estournelles de Constant,Paul Henri d'Estournelles de Constant,Paul Henri,d'Estournelles de Constant,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",,male,http://masterdataapi.nobelprize.org/2/laureate/476,1852-11-22,La Flèche,La Flèche,Europe,France,France,"La Flèche, France",5/15/1924,Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,Individual,France,,,,,
1908,Peace,The Nobel Peace Prize,2,2-Jan,139800,7084459,12/10/1908,received,for their long time work for the cause of peace as politicians peace society leaders orators and authors,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1908,474,Fredrik Bajer,Fredrik Bajer,Fredrik,Bajer,Fredrik Bajer,,male,http://masterdataapi.nobelprize.org/2/laureate/474,1837-04-21,Næstved,Næstved,Europe,Denmark,Denmark,"Næstved, Denmark",1/22/1922,Copenhagen,Copenhagen,Europe,Denmark,Denmark,"Copenhagen, Denmark",,,,,,,,,,,Individual,Denmark,,,,,
1908,Peace,The Nobel Peace Prize,1,2-Jan,139800,7084459,12/10/1908,received,for their long time work for the cause of peace as politicians peace society leaders orators and authors,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1908,473,Klas Pontus Arnoldson,Klas Pontus Arnoldson,Klas Pontus,Arnoldson,Klas Pontus Arnoldson,,male,http://masterdataapi.nobelprize.org/2/laureate/473,1844-10-27,Gothenburg,Gothenburg,Europe,Sweden,Sweden,"Gothenburg, Sweden",2/20/1916,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",,,,,,,,,,,Individual,Sweden,,,,,
1907,Peace,The Nobel Peace Prize,1,2-Jan,138796,7033581,12/10/1907,received,for his work in the press and in peace meetings both public and private for an understanding between France and Italy,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1907,471,Ernesto Teodoro Moneta,Ernesto Teodoro Moneta,Ernesto Teodoro,Moneta,Ernesto Teodoro Moneta,,male,http://masterdataapi.nobelprize.org/2/laureate/471,1833-09-20,Milan,Milan,Europe,Austrian Empire,Italy,"Milan, Austrian Empire (now Italy)",2/10/1918,Milan,Milan,Europe,Italy,Italy,"Milan, Italy",,,,,,,,,,,Individual,Italy,,,,,
1907,Peace,The Nobel Peace Prize,2,2-Jan,138796,7033581,12/10/1907,received,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1907,472,Louis Renault,Louis Renault,Louis,Renault,Louis Renault,,male,http://masterdataapi.nobelprize.org/2/laureate/472,1843-05-21,Autun,Autun,Europe,France,France,"Autun, France",2/8/1918,Barbizon,Barbizon,Europe,France,France,"Barbizon, France",,,,,,,,,,,Individual,France,,"Sorbonne University, Paris, France",,,
1906,Peace,The Nobel Peace Prize,1,1,138536,7421571,12/10/1906,received,for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1906,470,Theodore Roosevelt,Theodore Roosevelt,Theodore,Roosevelt,Theodore Roosevelt Jr,,male,http://masterdataapi.nobelprize.org/2/laureate/470,1858-10-27,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",1/6/1919,"Oyster Bay, NY","Oyster Bay, NY",North America,USA,USA,"Oyster Bay, NY, USA",,,,,,,,,,,Individual,USA,,,,,
1905,Peace,The Nobel Peace Prize,1,1,138089,7615202,12/10/1905,received,for her audacity to oppose the horrors of war,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1905,468,Bertha von Suttner,Bertha von Suttner,Bertha,von Suttner,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",,female,http://masterdataapi.nobelprize.org/2/laureate/468,1843-06-09,Prague,Prague,Europe,Austrian Empire,Czech Republic,"Prague, Austrian Empire (now Czech Republic)",6/21/1914,Vienna,Vienna,Europe,Austria,Austria,"Vienna, Austria",,,,,,,,,,,Individual,Austria,,,,,
1904,Peace,The Nobel Peace Prize,1,1,140859,7767960,12/10/1904,received,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1904,467,Institute of International Law,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/467,,,,,,,,,,,,,,,Institute of International Law,Institut de droit international,,1873-00-00,Ghent,Ghent,Europe,Belgium,Belgium,"Ghent, Belgium",Organization,,,,,,
1903,Peace,The Nobel Peace Prize,1,1,141358,7795478,12/10/1903,received,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1903,466,Randal Cremer,Randal Cremer,Randal,Cremer,William Randal Cremer,,male,http://masterdataapi.nobelprize.org/2/laureate/466,1828-03-18,Fareham,Fareham,Europe,United Kingdom,United Kingdom,"Fareham, United Kingdom",7/22/1908,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",,,,,,,,,,,Individual,United Kingdom,,,,,
1902,Peace,The Nobel Peace Prize,2,2-Jan,141847,8059489,12/10/1902,received,for his eminently practical administration of the Inter-Parliamentary Union,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1902,465,Albert Gobat,Albert Gobat,Albert,Gobat,Charles Albert Gobat,,male,http://masterdataapi.nobelprize.org/2/laureate/465,1843-05-21,Tramelan,Tramelan,Europe,Switzerland,Switzerland,"Tramelan, Switzerland",3/16/1914,Bern,Bern,Europe,Switzerland,Switzerland,"Bern, Switzerland",,,,,,,,,,,Individual,Switzerland,,,,,
1902,Peace,The Nobel Peace Prize,1,2-Jan,141847,8059489,12/10/1902,received,for his untiring and skilful directorship of the Bern Peace Bureau,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1902,464,Élie Ducommun,Élie Ducommun,Élie,Ducommun,Élie Ducommun,,male,http://masterdataapi.nobelprize.org/2/laureate/464,1833-02-19,Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",12/7/1906,Bern,Bern,Europe,Switzerland,Switzerland,"Bern, Switzerland",,,,,,,,,,,Individual,Switzerland,,,,,
1901,Peace,The Nobel Peace Prize,2,2-Jan,150782,8567159,12/10/1901,received,for his lifelong work for international peace conferences diplomacy and arbitration,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1901,463,Frédéric Passy,Frédéric Passy,Frédéric,Passy,Frédéric Passy,,male,http://masterdataapi.nobelprize.org/2/laureate/463,1822-05-20,Paris,Paris,Europe,France,France,"Paris, France",6/12/1912,Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,Individual,France,,,,,
1901,Peace,The Nobel Peace Prize,1,2-Jan,150782,8567159,12/10/1901,received,for his humanitarian efforts to help wounded soldiers and create international understanding,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1901,462,Henry Dunant,Henry Dunant,Henry,Dunant,Jean Henry Dunant,,male,http://masterdataapi.nobelprize.org/2/laureate/462,1828-05-08,Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",10/30/1910,Heiden,Heiden,Europe,Switzerland,Switzerland,"Heiden, Switzerland",,,,,,,,,,,Individual,Switzerland,,,,,
